names,smiles
ZINC000257332622,CCN1CC(c2cc(Nc3ccccc3)n3ncc(C(=O)Nc4ccc(Cl)cc4)c3n2)CC1=O
ZINC000059294612,O=C(Nc1ccccc1N1CCN(C(=O)c2ccc(Cl)cc2)CC1)c1ccc2nsnc2c1
ZINC000009611678,CN1CCN(c2ccccc2NC(=O)c2ccc3c(Cl)c4c(nc3c2)CCCC4)CC1
ZINC000013800810,CCCCCCNC(=O)C(C#N)c1nc2ccccc2nc1N1CCN(Cc2ccccc2)CC1
ZINC000014993848,OC1(c2ccc3c(c2)CN(Cc2cccn2-c2ccccn2)CCO3)CCN(c2ccccc2F)CC1
ZINC000019731417,CN1CCc2c1nc1ccccc1c2NC(=O)CN1CCN(C(c2ccccc2)c2ccccc2)CC1
ZINC000015830867,N#Cc1ccc(C(=O)N2CCCN(c3nc4cc(Cl)ccc4n4cccc34)CC2)cc1
ZINC000025184799,CC1=NN(c2ccc(Cl)cc2)C(=O)C12Cc1ccc(Cl)cc1N1CCN(c3ncccn3)CC12
ZINC000101155792,Cc1ccc(CNC(=O)c2cc3c(=O)n4ccccc4nc3n(Cc3ccccc3Cl)c2=N)cc1
ZINC000101159015,CC(NC(=O)c1cc2c(=O)n3ccccc3nc2n(Cc2ccccc2Cl)c1=N)c1ccccc1
ZINC000013805980,CC(C)c1ccc(NC(=O)C(C#N)=c2sc(=Cc3ccccc3)c(=O)n2-c2ccccc2)cc1
ZINC000101271440,CC(NC(=O)c1cc2c(=O)n3ccccc3nc2n(Cc2ccc(Cl)cc2)c1=N)c1ccccc1
ZINC000035292158,N#Cc1cc2cc3c(cc2nc1N1CCCN(C(=O)Nc2ccc(Cl)cc2)CC1)OCO3
ZINC000012613465,CN1CCN(c2ccc(NC(=O)c3cc(-c4ccc(F)cc4)nc4ccccc34)cn2)CC1
ZINC000009680745,CCc1ccccc1Nc1cc(C(=O)N2CCN(c3ccccn3)CC2)c2ccccc2n1
ZINC000057238698,O=C(Nc1ccc(N2CCN(Cc3ccccc3F)CC2)cc1)c1cccc2nsnc12
ZINC000101275813,N=c1c(C(=O)NCCc2ccccc2)cc2c(=O)n3ccccc3nc2n1Cc1ccc(Cl)cc1
ZINC000008871168,CCN1CCN(c2nc3ccccc3nc2C(C#N)S(=O)(=O)c2ccc(Cl)cc2)CC1
ZINC000020365543,O=C1C(=NNc2ccc(F)cc2)c2ccccc2N1CN1CCN(c2cccc(Cl)c2)CC1
ZINC000002235009,N#CC(C(=O)NC1CCCCC1)c1nc2ccccc2nc1N1CCN(c2ccccc2F)CC1
ZINC000012870814,Cc1ccc(-c2cc(C(=O)N3CCN(c4cc(C#N)ccn4)CC3)c3ccccc3n2)c(C)c1
ZINC000002344642,Cc1ccc(C=c2sc(=C(C#N)C(=O)Nc3ccccc3Cl)n(-c3ccccc3)c2=O)cc1
ZINC000002333647,N#CC(C(=O)NC1CCCCC1)c1nc2ccccc2nc1N1CCN(c2ccc(F)cc2)CC1
ZINC000001460701,Cc1c(Cl)ccc2c(C(=O)N3CCN(c4ccccn4)CC3)cc(-c3ccc4c(c3)OCO4)nc12
ZINC000101112957,Cc1ccc(Cn2c(=N)c(C(=O)NCc3ccccc3Cl)cc3c(=O)n4ccccc4nc32)cc1
ZINC000017287693,CCN(CC)CCNc1nc(Nc2cccc(Cl)c2)c2cnn(-c3ccccc3)c2n1
ZINC000008844329,CN1CCN(c2ccc(NC(=O)c3c(-c4ccccc4)c(-c4ccccc4)nn(C)c3=O)cc2)CC1
ZINC000055412857,N#CC(c1nc2ccccc2nc1N1CCN(Cc2ccccc2)CC1)S(=O)(=O)c1ccccc1
ZINC000002398893,CCOc1ccccc1C=c1sc(=C(C#N)C(=O)Nc2ccc(F)cc2)n(-c2ccccc2)c1=O
ZINC000022714960,O=C(COc1cccc2ccc(N3CCN(c4ccccc4)CC3)nc12)Nc1ccccc1F
ZINC000072373352,Cc1nc(Cn2ncc3ccccc3c2=O)cc(NCC(c2ccccc2Cl)N(C)C)n1
ZINC000006150928,N#CC(c1nc2ccccc2nc1N1CCN(c2ccccc2)CC1)S(=O)(=O)c1ccccc1
ZINC000009410569,N#Cc1c(N2CCN(CC(=O)Nc3ccc(Cl)cc3)CC2)nc(-c2ccccc2)c2c1CCC2
ZINC000009348059,CCN1CCN(c2nc3ccccc3nc2C(C#N)C(=O)NCCc2ccccc2)CC1
ZINC000013008159,Cc1onc(-c2ccccc2Cl)c1C(=O)NCC(c1ccc2c(c1)CCCN2C)N(C)C
ZINC000020608073,Cc1c(-c2cc(C(=O)Nc3ccc(N4CCN(C)CC4)cc3)c3ccccc3n2)cnn1C
